trans_date_trans_time,cc_num,amt,unix_time,is_fraud,category,merch_lat,merch_long,gender,street,city,zip,job,dob
2024-04-30 02:19:12.541442048,7060400461976088,455.49,1685734107,0,Travel,-18.52319564172629,91.57648078995732,F,1st Ave,Los Angeles,14964.0,Nurse,1957-08-12
2024-04-27 17:28:53.600208000,7617576655888052,162.88,1721120135,1,Groceries,1.3488588263006562,-108.5544689477847,F,799 Test St,Test City,65705.0,Lawyer,1998-07-11
2024-10-25 16:31:40.015549000,9496565893783298,47.13,1715612520,0,Groceries,67.32664769991092,-68.9949147777756,F,853 Test St,Test City,78807.0,Teacher,1968-06-23
2024-04-13 07:00:54.082352000,9869406508582321,135.11,1726713898,0,Groceries,7.226804365987036,-163.67033330540664,F,849 Test St,Test City,53845.0,Lawyer,1963-08-16
2024-10-06 07:50:27.397365000,2660874889102052,168.04,1720962669,0,Travel,46.78540530038663,2.869387620597508,F,542 Test St,Test City,49059.0,Engineer,1985-08-27
2024-08-06 02:03:03.287554000,3882068295346050,338.85,1707018136,0,Electronics,74.14741804705375,-67.80265419735579,F,693 Test St,Test City,17208.0,Teacher,1951-05-15
2024-04-30 02:19:12.541442048,2046819720795596,278.85,1698661248,0,Groceries,79.06589427989428,40.668692758560525,M,2nd Ave,Los Angeles,95173.0,Nurse,1980-08-24
2023-11-04 02:29:37.214649000,4982979488642298,428.59,1716106793,0,Groceries,-23.358542258596827,-178.25621504842638,F,63 Test St,Test City,32104.0,Lawyer,1952-05-25
2024-04-30 02:19:12.541442048,4964352289927428,343.25,1677015939,0,Apparel,20.14965279523713,164.52195339981438,F,Broadway,Houston,66776.0,Lawyer,1962-12-21
2024-06-16 07:10:06.523107000,1752467965316559,110.33,1705613094,0,Travel,-58.01764739935751,-140.93078325151444,F,135 Test St,Test City,42438.0,Doctor,1986-06-12
2024-07-30 03:08:00.029705000,9117441336774970,49.46,1714562868,0,Apparel,83.30170819524614,145.56673008825447,F,533 Test St,Test City,68736.0,Clerk,1973-06-17
2024-09-10 20:47:32.681165000,8331738445365884,232.7,1710557938,0,Groceries,-8.21197342866131,-29.061472035387425,F,135 Test St,Test City,50086.0,Lawyer,1994-05-22
2024-04-30 02:19:12.541442048,1436829912018823,273.67,1701288274,0,Electronics,-38.54077892309248,-38.77621866796056,F,Broadway,New York,10769.0,Teacher,1983-12-21
2024-09-16 12:48:52.727601000,3500063546390073,289.86,1710902125,0,Electronics,-16.72838041637803,146.74382358294196,M,217 Test St,Test City,10275.0,Teacher,1993-07-09
2023-11-29 03:32:01.544310000,8154422617065596,60.12,1704396975,0,Groceries,40.15614746856807,108.60618938189026,F,848 Test St,Test City,99885.0,Doctor,1997-07-11
2023-11-20 13:48:21.042754000,6672051726755609,168.89,1711881481,0,Travel,-71.4772913272537,-30.29339434798345,M,130 Test St,Test City,89635.0,Engineer,1973-10-08
2024-04-30 02:19:12.541442048,3319792797493996,103.05,1688741158,0,Apparel,33.52105454215821,-105.89801217179304,F,Broadway,New York,12185.0,Doctor,1970-01-22
2024-04-26 12:12:16.040579000,9812171407923350,188.87,1722213776,0,Travel,-51.69967850714601,-53.92826491691018,F,582 Test St,Test City,76053.0,Engineer,1962-12-13
2024-09-04 10:34:54.165760000,4702056587136712,412.29,1721381434,0,Electronics,49.82334289064852,-120.47389253984414,F,761 Test St,Test City,56302.0,Doctor,1958-06-11
2023-11-11 11:32:54.489869000,9888098878441591,455.38,1706384963,0,Travel,-58.01764739935751,-140.93078325151444,M,778 Test St,Test City,71102.0,Doctor,1985-11-07
2024-04-30 02:19:12.541442048,2639919716806045,204.94,1700725208,1,Entertainment,89.06913218571336,-115.5370875639332,M,Broadway,New York,38974.0,Artist,1976-03-14
2024-01-19 21:31:30.447636000,1951111219654508,138.85,1725008711,0,Travel,-47.34271650763817,75.54811793589215,F,206 Test St,Test City,56229.0,Teacher,1975-07-28
2024-01-22 18:44:26.647935000,1228287482773221,71.14,1710690094,0,Apparel,-53.46181981157716,153.25429593970995,F,770 Test St,Test City,41435.0,Clerk,1959-04-15
2024-01-09 00:59:18.560409000,4491697206636527,309.45,1705837243,0,Groceries,-27.531230030837182,-129.20391478137458,F,485 Test St,Test City,61512.0,Clerk,1988-06-14
2024-08-27 23:07:48.457220000,3882068295346050,12.99,1718871107,0,Entertainment,89.06913218571336,-115.5370875639332,F,693 Test St,Test City,17208.0,Teacher,1951-05-15
2024-10-04 00:23:14.814340000,9677820889829059,48.88,1702680924,0,Electronics,39.54974326675128,-118.41519489151136,M,32 Test St,Test City,54954.0,Engineer,1988-10-02
2023-11-11 01:52:37.540669000,4058280985505395,123.05,1706915824,0,Travel,-73.48012830431723,-4.613521473958741,F,374 Test St,Test City,97250.0,Doctor,1986-03-03
2024-09-04 15:41:47.928561000,8149117117541145,237.87,1702262104,0,Groceries,-78.3474631198586,-41.900737814640735,M,689 Test St,Test City,84776.0,Lawyer,1989-05-25
2024-09-22 15:08:22.527163000,5683588910067478,412.68,1707649634,0,Travel,62.64173498728283,-161.97879776419842,M,709 Test St,Test City,23804.0,Teacher,1991-10-07
2024-04-11 21:05:08.076172000,4936974159985826,493.8,1723760452,0,Apparel,0.5115067976039995,-134.1933430640006,F,676 Test St,Test City,24207.0,Lawyer,1988-03-09
2024-04-30 02:19:12.541442048,2669723414467567,84.25,1694019536,0,Apparel,-2.166985418914223,-9.414748982871458,F,Maple St,Phoenix,84523.0,Nurse,1972-04-05
2023-11-15 06:56:32.586486000,2594497800523130,104.46,1701070463,0,Apparel,-55.67002510013051,-19.44591803015706,M,878 Test St,Test City,80364.0,Doctor,1998-08-08
2024-04-30 02:19:12.541442048,5862234483438937,478.77,1674267631,1,Apparel,-17.917907867471598,15.543522879757631,M,2nd Ave,Phoenix,27673.0,Teacher,1960-02-29
2024-04-30 02:19:12.541442048,3438987587267336,369.02,1694240401,0,Entertainment,51.54434389615688,35.550431764943085,F,Maple St,Chicago,62813.0,Engineer,1965-12-04
2024-05-22 15:19:19.568431000,9496565893783298,496.64,1723123097,0,Travel,58.68090179673305,-140.56922218542377,F,853 Test St,Test City,78807.0,Teacher,1968-06-23
2024-06-14 16:34:44.100726000,5945421947786238,240.97,1720274734,0,Groceries,14.838220032426989,-162.18724103375234,M,560 Test St,Test City,53208.0,Teacher,1988-08-09
2024-07-30 15:32:32.170343000,6624740995702653,435.12,1722027716,0,Groceries,40.15614746856807,108.60618938189026,F,236 Test St,Test City,46797.0,Lawyer,1974-06-08
2024-09-05 16:27:11.001502000,1228287482773221,99.65,1711672651,0,Groceries,67.32664769991092,-68.9949147777756,F,770 Test St,Test City,41435.0,Clerk,1959-04-15
2024-03-01 23:46:12.442813000,7315730726537328,395.75,1722862199,0,Travel,-51.69967850714601,-53.92826491691018,M,619 Test St,Test City,40861.0,Lawyer,1950-01-20
2024-04-30 02:19:12.541442048,5862234483438937,322.73,1684069599,0,Groceries,85.47129646827946,2.8799638542606374,M,2nd Ave,Phoenix,27673.0,Teacher,1960-02-29
2024-01-18 21:57:07.363783000,7577690275618010,242.58,1706048110,0,Groceries,-27.531230030837182,-129.20391478137458,F,512 Test St,Test City,70237.0,Engineer,1984-03-11
2024-04-30 02:19:12.541442048,8711179386534323,200.98,1672853726,0,Entertainment,51.54434389615688,35.550431764943085,F,Maple St,Chicago,37034.0,Nurse,1978-12-18
2023-10-29 19:24:07.891558000,4547850060326355,480.93,1706352103,0,Travel,-0.7875016140319246,-174.90023314845143,M,339 Test St,Test City,99869.0,Teacher,1953-09-01
2024-07-02 10:45:45.003384000,3530953117040257,140.45,1723726236,0,Groceries,-41.65488574514497,90.05157388576708,M,10 Test St,Test City,61807.0,Lawyer,1997-11-06
2024-04-30 02:19:12.541442048,3048628034282915,3.88,1674589345,0,Travel,47.18266849731842,-159.7418881952124,F,Main St,New York,84794.0,Lawyer,2003-09-11
2024-04-30 02:19:12.541442048,5830303947455004,75.81,1697425433,1,Electronics,31.73006966153801,-67.77740733493759,F,Main St,Chicago,98600.0,Doctor,1979-10-10
2024-07-21 01:30:20.433564000,9310078623566331,254.04,1716836586,0,Apparel,57.51766546394995,-155.8947055801055,F,994 Test St,Test City,74724.0,Lawyer,1971-08-07
2024-06-14 14:43:58.619248000,3832654299198148,158.97,1707002299,0,Electronics,39.54974326675128,-118.41519489151136,M,258 Test St,Test City,58583.0,Teacher,1989-12-13
2024-03-23 01:27:53.550801000,9869406508582321,236.11,1712684385,0,Apparel,23.79208222892042,-86.58836673314276,F,849 Test St,Test City,53845.0,Lawyer,1963-08-16
2024-08-22 19:11:38.386503000,9634433637214180,300.02,1724895337,0,Apparel,0.5115067976039995,-134.1933430640006,F,797 Test St,Test City,24430.0,Teacher,1962-06-10
2024-10-25 18:39:31.373426000,9913590022909514,343.16,1720856489,0,Apparel,88.04233454966248,-152.8800755184934,F,819 Test St,Test City,17049.0,Teacher,1976-10-18
2024-04-30 02:19:12.541442048,7403603358432640,249.93,1687269102,0,Apparel,23.79208222892042,-86.58836673314276,M,1st Ave,Houston,93771.0,Nurse,2005-02-08
2024-02-17 15:32:43.397135000,3069163699237907,112.75,1713935249,0,Groceries,-44.27611476159149,-42.663280079890825,F,782 Test St,Test City,43900.0,Engineer,1964-08-01
2024-10-24 01:28:16.267676000,9994533380463029,149.77,1707979026,0,Electronics,-38.54077892309248,-38.77621866796056,F,223 Test St,Test City,75527.0,Teacher,1991-06-26
2024-06-16 07:12:07.063990000,5330288783823571,104.1,1721773035,0,Groceries,-27.531230030837182,-129.20391478137458,F,95 Test St,Test City,26181.0,Lawyer,1964-05-03
2024-04-15 06:23:58.773167000,1951111219654508,303.82,1708059703,0,Apparel,71.4501997671077,-17.56124419385975,F,206 Test St,Test City,56229.0,Teacher,1975-07-28
2024-07-24 19:10:52.817608000,9449900287862324,93.35,1729905905,0,Entertainment,31.11288565462185,119.4625024232438,F,763 Test St,Test City,95666.0,Clerk,1978-07-18
2024-04-30 02:19:12.541442048,9173332724794494,57.31,1684371763,0,Groceries,46.32847847450455,-55.8779682013664,M,Maple St,New York,42539.0,Lawyer,1990-12-18
2024-04-30 02:19:12.541442048,9208657129036710,435.84,1697733070,0,Apparel,-2.166985418914223,-9.414748982871458,M,Broadway,New York,83971.0,Nurse,1982-11-06
2024-01-14 16:25:30.377177000,8154422617065596,209.09,1700359815,0,Travel,-18.52319564172629,91.57648078995732,F,848 Test St,Test City,99885.0,Doctor,1997-07-11
2024-04-30 02:19:12.541442048,4626901157136707,454.55,1680261093,0,Electronics,31.73006966153801,-67.77740733493759,F,1st Ave,Los Angeles,73420.0,Nurse,1998-05-31
2024-02-04 15:06:33.534103000,2868617412055032,395.68,1729417738,0,Electronics,22.17012257859585,168.95891334648854,F,844 Test St,Test City,78251.0,Doctor,1961-09-27
2024-04-30 02:19:12.541442048,2940396818286852,466.53,1686630417,0,Travel,-80.45996545485183,-81.74311296435529,F,2nd Ave,New York,72797.0,Lawyer,1956-06-04
2024-10-18 01:52:13.463319000,2039948905931857,15.05,1698864170,0,Groceries,-41.65488574514497,90.05157388576708,M,907 Test St,Test City,79982.0,Engineer,1981-04-12
2024-04-30 02:19:12.541442048,3837891589584820,283.0,1672618769,0,Electronics,-38.54077892309248,-38.77621866796056,F,Broadway,Los Angeles,46538.0,Lawyer,2001-04-02
2024-09-06 11:08:30.287692000,2216115740900538,27.81,1708419083,0,Entertainment,-7.911874954864373,-137.25111128226763,F,111 Test St,Test City,51104.0,Clerk,1982-12-09
2024-05-17 12:08:42.235502000,3256002542736536,435.2,1704055876,0,Groceries,7.226804365987036,-163.67033330540664,M,822 Test St,Test City,60024.0,Clerk,1966-05-04
2024-04-30 02:19:12.541442048,7320105652667452,26.93,1692251730,0,Groceries,-78.3474631198586,-41.900737814640735,M,Main St,Houston,70832.0,Engineer,1994-08-10
2024-05-03 02:04:06.259893000,8538683793706952,322.01,1715921853,0,Electronics,-26.58433665786434,132.9141057936119,M,911 Test St,Test City,18937.0,Lawyer,1963-06-15
2024-04-30 02:19:12.541442048,9925842076749258,311.13,1703095620,0,Groceries,1.3488588263006562,-108.5544689477847,F,1st Ave,New York,25009.0,Clerk,2004-10-09
2024-04-30 02:19:12.541442048,6332384928871231,391.95,1703912546,0,Apparel,57.51766546394995,-155.8947055801055,M,Main St,Los Angeles,91101.0,Artist,1984-02-06
2024-04-30 02:19:12.541442048,8196647793156490,29.13,1698876319,0,Entertainment,-88.61654302286703,122.1304779018726,M,2nd Ave,Phoenix,57531.0,Artist,1965-06-13
2024-04-30 02:19:12.541442048,8246865822746720,440.28,1672632979,0,Groceries,-78.3474631198586,-41.900737814640735,F,2nd Ave,New York,52358.0,Artist,1960-04-30
2024-07-19 01:13:30.136660000,9923816345551016,73.48,1719327776,0,Groceries,-79.37573671650925,172.18212748118322,F,423 Test St,Test City,64571.0,Lawyer,1957-12-15
2024-06-14 16:00:17.454599000,2594497800523130,469.6,1709025055,0,Travel,-46.10552894239083,-79.92365101068057,M,878 Test St,Test City,80364.0,Doctor,1998-08-08
2024-05-12 11:19:26.308280000,6624582838462944,45.84,1720126208,0,Travel,58.68090179673305,-140.56922218542377,M,948 Test St,Test City,85290.0,Lawyer,1955-05-22
2024-04-21 11:17:34.226396000,2254130849964395,253.1,1729404457,0,Entertainment,-88.61654302286703,122.1304779018726,M,600 Test St,Test City,70216.0,Doctor,1991-07-23
2024-08-13 19:30:56.441963000,9634433637214180,373.27,1713342262,0,Travel,-19.65636715340061,16.66810179444255,F,797 Test St,Test City,24430.0,Teacher,1962-06-10
2023-12-11 09:24:57.243439000,1161443308007682,492.21,1720422991,0,Groceries,1.3488588263006562,-108.5544689477847,F,393 Test St,Test City,54596.0,Engineer,1971-03-24
2024-03-10 00:59:00.459292000,4734422127918118,201.16,1705847532,0,Groceries,-41.65488574514497,90.05157388576708,M,577 Test St,Test City,56488.0,Lawyer,1968-12-20
2024-04-30 02:19:12.541442048,6594365077067998,202.34,1679646537,0,Groceries,67.32664769991092,-68.9949147777756,F,Maple St,Los Angeles,57913.0,Clerk,1958-04-21
2024-04-30 02:19:12.541442048,2823728314429617,392.8,1683350964,0,Apparel,-53.46181981157716,153.25429593970995,F,Elm St,Phoenix,86842.0,Artist,2005-01-25
2024-04-30 02:19:12.541442048,7401462747166641,41.71,1699422555,0,Apparel,-55.67002510013051,-19.44591803015706,F,Broadway,Los Angeles,53169.0,Lawyer,1968-07-25
2024-07-01 11:55:08.165639000,9117441336774970,182.93,1707176002,0,Groceries,-63.53947625728404,-101.9930264718414,F,533 Test St,Test City,68736.0,Clerk,1973-06-17
2024-05-24 17:51:45.976708000,7381324965140812,205.59,1717597568,0,Travel,-18.52319564172629,91.57648078995732,M,382 Test St,Test City,39192.0,Teacher,1998-10-18
2023-11-12 04:31:58.010710000,1228287482773221,82.63,1711463737,0,Electronics,86.6518698487038,6.308468691848049,F,770 Test St,Test City,41435.0,Clerk,1959-04-15
2024-04-30 02:19:12.541442048,3371722224385516,204.17,1684117178,0,Groceries,14.654384299918362,23.38131330324268,F,Maple St,Phoenix,36760.0,Nurse,1993-12-07
2024-04-30 02:19:12.541442048,1041696963209868,185.14,1690714607,0,Travel,-19.65636715340061,16.66810179444255,F,2nd Ave,Chicago,65645.0,Nurse,1995-02-05
2024-04-30 02:19:12.541442048,6035671487444761,440.96,1696326178,0,Travel,-19.65636715340061,16.66810179444255,M,Broadway,Los Angeles,83361.0,Clerk,1998-01-22
2023-11-25 15:43:02.863623000,3832654299198148,124.91,1701136426,0,Entertainment,88.09979154289479,-68.06583980919721,M,258 Test St,Test City,58583.0,Teacher,1989-12-13
2024-04-30 02:19:12.541442048,7567325424021788,290.19,1686391957,0,Travel,58.68090179673305,-140.56922218542377,F,Elm St,Houston,72628.0,Nurse,1998-07-24
2024-03-02 06:18:20.877259000,1808228936642008,238.34,1727876831,0,Entertainment,-88.61654302286703,122.1304779018726,M,122 Test St,Test City,39611.0,Doctor,1965-10-17
2024-03-18 02:02:42.632381000,7149117802207092,346.49,1716831810,1,Electronics,87.97582122185094,73.47387297180416,F,664 Test St,Test City,94579.0,Clerk,1990-10-23
2024-04-30 02:19:12.541442048,7307234570531390,164.59,1688004857,0,Groceries,14.838220032426989,-162.18724103375234,F,2nd Ave,Phoenix,51811.0,Nurse,1997-05-05
2024-04-30 02:19:12.541442048,7308701990157768,390.33,1694173043,0,Apparel,20.14965279523713,164.52195339981438,M,Broadway,Phoenix,36374.0,Doctor,1978-12-13
2024-04-30 02:19:12.541442048,6997559541615605,423.85,1688180422,0,Electronics,49.82334289064852,-120.47389253984414,M,Elm St,Chicago,62717.0,Artist,1989-08-27
2024-03-03 01:35:13.657360000,9297907707489213,388.59,1715055798,0,Groceries,0.0671885875949556,-20.26169594424536,F,501 Test St,Test City,51351.0,Clerk,2000-05-16
2024-09-24 12:05:11.934070000,4036375546186056,63.97,1720063992,0,Groceries,-69.8131281842011,122.13802854822,F,509 Test St,Test City,69323.0,Clerk,1993-05-05
2024-07-27 01:55:47.403616000,7315730726537328,444.42,1729010464,0,Travel,-7.500568465189048,-151.9870289880573,M,619 Test St,Test City,40861.0,Lawyer,1950-01-20
2024-04-30 02:19:12.541442048,7780269161855201,155.01,1689790588,0,Electronics,-82.6737493094161,18.37997667711972,F,Elm St,Houston,19382.0,Teacher,1964-11-15
2023-12-21 06:07:17.504597000,6624582838462944,108.0,1701274851,0,Apparel,71.4501997671077,-17.56124419385975,M,948 Test St,Test City,85290.0,Lawyer,1955-05-22
2024-03-06 17:05:01.640064000,9888098878441591,479.0,1713157390,0,Entertainment,-34.73183185490737,162.228092285356,M,778 Test St,Test City,71102.0,Doctor,1985-11-07
2024-10-27 14:14:43.152216000,3854209277925875,332.55,1701654217,0,Electronics,-25.158214700976583,-131.70660301011432,F,53 Test St,Test City,94901.0,Doctor,1955-01-20
2024-08-26 23:25:33.391007000,8360747223299237,55.95,1721444560,0,Electronics,-5.005953445524312,146.87384731884595,M,83 Test St,Test City,72144.0,Clerk,1998-07-20
2024-02-07 11:51:49.723919000,1535535839834313,62.03,1699676464,0,Apparel,-53.46181981157716,153.25429593970995,M,368 Test St,Test City,48849.0,Engineer,1953-01-01
2024-04-30 02:19:12.541442048,3220561957909680,262.17,1698864635,0,Apparel,-53.46181981157716,153.25429593970995,M,Elm St,Los Angeles,17399.0,Teacher,1971-11-07
2023-10-31 02:26:36.138941000,3069163699237907,449.04,1708920811,0,Travel,-58.01764739935751,-140.93078325151444,F,782 Test St,Test City,43900.0,Engineer,1964-08-01
2024-04-30 02:19:12.541442048,2552592831193093,30.22,1674322491,0,Electronics,49.82334289064852,-120.47389253984414,M,Main St,Chicago,45097.0,Engineer,1961-09-26
2024-02-22 15:09:09.516261000,3989603680259992,399.96,1706037307,0,Electronics,49.82334289064852,-120.47389253984414,M,884 Test St,Test City,75962.0,Doctor,1981-04-10
2024-07-08 23:10:41.305763000,8898224153494349,191.63,1716333799,0,Apparel,71.4501997671077,-17.56124419385975,M,49 Test St,Test City,58775.0,Engineer,1984-08-14
2024-07-04 05:43:15.552925000,5330288783823571,207.05,1718249794,0,Electronics,-26.58433665786434,132.9141057936119,F,95 Test St,Test City,26181.0,Lawyer,1964-05-03
2024-08-14 12:07:24.358108000,9923816345551016,323.63,1712342099,0,Entertainment,-7.911874954864373,-137.25111128226763,F,423 Test St,Test City,64571.0,Lawyer,1957-12-15
2024-09-30 03:58:51.030894000,5620482878723130,254.88,1702928143,0,Groceries,0.0671885875949556,-20.26169594424536,M,109 Test St,Test City,40093.0,Doctor,1974-10-09
2024-04-30 02:19:12.541442048,4381532815614930,66.71,1690590039,0,Apparel,-66.674507917154,-13.259892702933854,M,Elm St,Chicago,96458.0,Clerk,2005-03-03
2024-03-05 00:25:34.409629000,5059278286995893,329.2,1701159215,0,Groceries,-44.27611476159149,-42.663280079890825,F,237 Test St,Test City,99861.0,Teacher,1980-03-05
2024-03-06 16:30:12.593847000,1297747970411551,473.88,1718840650,0,Travel,-3.1376392142395133,-1.0539371291183386,F,444 Test St,Test City,77594.0,Doctor,1978-08-19
2024-04-21 10:02:47.469336000,7577690275618010,260.7,1702477188,0,Travel,-71.4772913272537,-30.29339434798345,F,512 Test St,Test City,70237.0,Engineer,1984-03-11
2024-02-12 19:11:15.944788000,4491697206636527,227.52,1717793197,0,Apparel,83.30170819524614,145.56673008825447,F,485 Test St,Test City,61512.0,Clerk,1988-06-14
2023-10-30 21:23:36.114500000,4734422127918118,450.59,1713946288,0,Travel,-7.500568465189048,-151.9870289880573,M,577 Test St,Test City,56488.0,Lawyer,1968-12-20
2024-04-30 02:19:12.541442048,1786940725229874,21.21,1676481375,0,Electronics,-82.6737493094161,18.37997667711972,M,Broadway,New York,79477.0,Clerk,1975-05-06
2024-01-04 13:20:08.595617000,8641709210789460,435.21,1725189942,0,Electronics,68.77535645120233,-129.91125924167875,F,430 Test St,Test City,62135.0,Doctor,1954-04-26
2024-04-30 02:19:12.541442048,9233937183832294,1.68,1684254027,0,Groceries,14.654384299918362,23.38131330324268,M,Broadway,Los Angeles,10807.0,Doctor,2000-02-03
2024-10-07 19:39:08.720834000,1951111219654508,117.87,1726805329,0,Entertainment,36.97594182103788,31.37227545761604,F,206 Test St,Test City,56229.0,Teacher,1975-07-28
2024-04-30 02:19:12.541442048,2905823510254132,274.89,1684894438,0,Electronics,88.31166896584762,-91.21238063158488,M,Maple St,Phoenix,52865.0,Doctor,2001-09-23
2024-04-30 02:19:12.541442048,9266603928937790,395.28,1696546855,0,Travel,47.18266849731842,-159.7418881952124,F,Elm St,New York,34982.0,Clerk,1960-10-01
2023-11-09 03:27:57.050948000,9939447573316257,179.33,1714152327,0,Travel,-51.69967850714601,-53.92826491691018,M,438 Test St,Test City,14741.0,Teacher,1971-09-28
2024-08-04 04:43:15.267895000,9869406508582321,356.32,1727257808,0,Entertainment,27.17758787626444,-64.8574350738144,F,849 Test St,Test City,53845.0,Lawyer,1963-08-16
2024-04-04 01:30:22.364224000,7841160067409545,217.42,1714535316,0,Groceries,-61.26016902797638,-23.03810829457197,F,860 Test St,Test City,86640.0,Teacher,1956-04-07
2024-02-05 17:42:30.450975000,1370124048381084,82.84,1702804459,0,Groceries,-69.8131281842011,122.13802854822,M,27 Test St,Test City,86341.0,Clerk,1958-08-09
2024-01-27 15:58:23.561868000,4547850060326355,77.91,1725375082,0,Apparel,83.30170819524614,145.56673008825447,M,339 Test St,Test City,99869.0,Teacher,1953-09-01
2024-04-30 02:19:12.541442048,1665272571111325,159.31,1685519501,0,Apparel,-61.315034940059576,-49.02547890057431,M,Broadway,Los Angeles,81726.0,Nurse,1982-07-09
2023-11-03 21:36:54.914231000,4949616620267793,276.46,1717293213,0,Apparel,-86.22921534229609,-117.72684367017422,M,115 Test St,Test City,72007.0,Lawyer,1975-07-02
2024-03-26 14:55:38.525482000,3256002542736536,322.2,1728506240,0,Electronics,49.82334289064852,-120.47389253984414,M,822 Test St,Test City,60024.0,Clerk,1966-05-04
2024-02-22 01:49:26.562339000,9310078623566331,349.92,1704954889,0,Travel,-19.65636715340061,16.66810179444255,F,994 Test St,Test City,74724.0,Lawyer,1971-08-07
2024-08-11 07:25:55.217989000,3378042663686867,17.99,1718951829,0,Electronics,73.71857847753185,36.9015850564698,M,281 Test St,Test City,64877.0,Teacher,1955-01-14
2024-02-17 12:54:39.896421000,3832654299198148,138.4,1729129648,0,Electronics,31.73006966153801,-67.77740733493759,M,258 Test St,Test City,58583.0,Teacher,1989-12-13
2024-08-28 09:00:10.419310000,1135476141630558,458.83,1698862004,0,Travel,-13.782030156854788,88.33761530797369,M,299 Test St,Test City,54636.0,Clerk,1970-09-18
2023-11-29 03:50:59.166357000,1951111219654508,415.5,1712715293,0,Groceries,79.06589427989428,40.668692758560525,F,206 Test St,Test City,56229.0,Teacher,1975-07-28
